0,1,2,3,4,5,6,7,8,9,10,11,12
"""検索件数：27件""",,,,,,,,,,,,
"""受渡日：2023/11/1-2023/12/13""",,,,,,,,,,,,
"""種類：すべて""",,,,,,,,,,,,
"""口座：すべて""",,,,,,,,,,,,
,,,,,,,,,,,,
"""商品""","""受取額(税引後)""",,,,,,,,,,,
"""米国株式""","""204",881.55円(1,"388.3USD)""",,,,,,,,,
"""外貨建債券""","""71","280.06円(476.28USD)""",,,,,,,,,,
"""合計""","""276","161.61円""",,,,,,,,,,
,,,,,,,,,,,,
"""受渡日""","""口座""","""商品""","""銘柄名""","""数量""","""受取額(税引後)""",,,,,,,
"""2023/12/8""","""旧NISA""","""米国株式""","""iシェアーズ コア 米国総合債券市場 ETF AGG""","""93""","""3","350.21円""",,,,,,
"""2023/12/8""","""特定/一般""","""米国株式""","""iシェアーズ iBoxx USD Hイールド社債 ETF HYG""","""94""","""3","373.6円""",,,,,,
"""2023/12/8""","""旧NISA""","""米国株式""","""iシェアーズ iBoxx USD Hイールド社債 ETF HYG""","""39""","""1","767.19円""",,,,,,
"""2023/12/8""","""特定/一般""","""米国株式""","""iシェアーズ優先株式&インカム証券ETF PFF""","""2","973""","""54","325.54円""",,,,,
"""2023/12/8""","""旧NISA""","""米国株式""","""iシェアーズ 米国国債 20年超 ETF TLT""","""8""","""304.03円""",,,,,,,
"""2023/12/7""","""旧NISA""","""米国株式""","""バンガード　米国トータル債券市場ETF BND""","""56""","""1","481.61円""",,,,,,
"""2023/12/7""","""旧NISA""","""米国株式""","""インターナショナル債券ETF米ドルヘッジ BNDX""","""1""","""13.16円""",,,,,,,
"""2023/12/7""","""特定/一般""","""米国株式""","""JPモルガン エクイティ プレミアム ETF JEPI""","""16""","""659.63円""",,,,,,,
"""2023/12/7""","""特定/一般""","""米国株式""","""JPM ウルトラ ショート インカム ETF JPST""","""1","210""","""28","175.52円""",,,,,
"""2023/12/7""","""旧NISA""","""米国株式""","""JPM ウルトラ ショート インカム ETF JPST""","""4""","""118.47円""",,,,,,,
"""2023/12/7""","""特定/一般""","""米国株式""","""バンガード 米国短期社債 ETF VCSH""","""60""","""1","367.53円""",,,,,,
"""2023/12/7""","""旧NISA""","""米国株式""","""バンガード 米国短期社債 ETF VCSH""","""7""","""198.91円""",,,,,,,
"""2023/12/7""","""特定/一般""","""米国株式""","""バンガード 米ドル建て新興国政府債券ETF VWOB""","""199""","""5","884.03円""",,,,,,
"""2023/11/17""","""特定/一般""","""外貨建債券""","""アメリカ国債 4.0% 20421115""",,"""71","280.06円""",,,,,,
"""2023/11/8""","""旧NISA""","""米国株式""","""iシェアーズ コア 米国総合債券市場 ETF AGG""","""93""","""3","453.15円""",,,,,,
"""2023/11/8""","""特定/一般""","""米国株式""","""iシェアーズ iBoxx USD Hイールド社債 ETF HYG""","""94""","""3","909.4円""",,,,,,
"""2023/11/8""","""旧NISA""","""米国株式""","""iシェアーズ iBoxx USD Hイールド社債 ETF HYG""","""39""","""2","030.74円""",,,,,,
"""2023/11/8""","""特定/一般""","""米国株式""","""iシェアーズ優先株式&インカム証券ETF PFF""","""2","973""","""55","155.07円""",,,,,
"""2023/11/8""","""旧NISA""","""米国株式""","""iシェアーズ 米国国債 20年超 ETF TLT""","""8""","""308.63円""",,,,,,,
"""2023/11/7""","""旧NISA""","""米国株式""","""バンガード　米国トータル債券市場ETF BND""","""56""","""1","519.4円""",,,,,,
"""2023/11/7""","""旧NISA""","""米国株式""","""インターナショナル債券ETF米ドルヘッジ BNDX""","""1""","""11.89円""",,,,,,,
"""2023/11/7""","""特定/一般""","""米国株式""","""JPモルガン エクイティ プレミアム ETF JEPI""","""16""","""616.98円""",,,,,,,
"""2023/11/7""","""特定/一般""","""米国株式""","""JPM ウルトラ ショート インカム ETF JPST""","""1","210""","""28","651.68円""",,,,,
"""2023/11/7""","""旧NISA""","""米国株式""","""JPM ウルトラ ショート インカム ETF JPST""","""4""","""120.42円""",,,,,,,
"""2023/11/7""","""特定/一般""","""米国株式""","""バンガード 米国短期社債 ETF VCSH""","""60""","""1","456.96円""",,,,,,
"""2023/11/7""","""旧NISA""","""米国株式""","""バンガード 米国短期社債 ETF VCSH""","""7""","""214.08円""",,,,,,,
"""2023/11/7""","""特定/一般""","""米国株式""","""バンガード 米ドル建て新興国政府債券ETF VWOB""","""199""","""6","413.62円""",,,,,,
,,,,,,,,,,,,
入金日,商品,口座,銘柄コード,銘柄,受取通貨,単価[円/現地通貨],数量[株/口],配当・分配金合計（税引前）[円/現地通貨],税額合計[円/現地通貨],受取金額[円/現地通貨],,
"""2023/12/11""","""米国株式""","""特定・一般""","""PFF""","""ＩＳＨＡＲＥＳ　ＰＲＥＦＥＲ""","""円""","""-""","""1","681""","""-""","""-""","""29","944"""
"""2023/12/08""","""米国株式""","""特定・一般""","""JEPI""","""ＪＰＭ　ＥＱ　ＩＮＣＭ　ＥＴＦ""","""円""","""-""","""527""","""-""","""-""","""21","686""",
"""2023/11/10""","""米国株式""","""特定・一般""","""PFF""","""ＩＳＨＡＲＥＳ　ＰＲＥＦＥＲ""","""円""","""-""","""1","681""","""-""","""-""","""31","518"""
"""2023/11/08""","""米国株式""","""特定・一般""","""JEPI""","""ＪＰＭ　ＥＱ　ＩＮＣＭ　ＥＴＦ""","""円""","""-""","""527""","""-""","""-""","""20","367""",
"""2023/11/09""","""米国株式""","""特定・一般""","""JEPI""","""ＪＰＭ　ＥＱ　ＩＮＣＭ　ＥＴＦ""","""円""","""-""","""527""","""-""","""-""","""20","367""",
